society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
independent,2.99,sector 56,20635.0,4,4,2,2.0,Moderately Old,N68716724,house,1449.0,1,1,0,1,0,1,49,"28.4245° N, 77.0991° E",28.4245,77.0991
godrej nature plus,1.55,sector 33,9955.0,3,2,3+,8.0,New Property,V68581360,flat,1730.0,0,0,0,0,0,0,43,"28.4420° N, 77.0207° E",28.442,77.0207
experion the heartsong,1.65,sector 108,8238.0,3,4,3,3.0,Moderately Old,M68292792,flat,1771.32,1,0,0,0,0,1,75,"28.5134° N, 76.9830° E",28.5134,76.983
independent,8.49,sector 43,31444.0,3,3,2,4.0,Relatively New,H69942904,house,2700.0,0,1,0,1,0,1,21,"28.4629° N, 77.0772° E",28.4629,77.0772
shree vardhman victoria,1.65,sector 70,8462.0,3,4,3,12.0,Relatively New,F69682456,flat,1765.0,0,1,1,0,0,0,56,"28.3968° N, 77.0233° E",28.3968,77.0233
ss the leaf,1.12,sector 85,6452.0,2,2,3,10.0,Relatively New,J69584972,flat,1485.0,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
ss hibiscus,6.0,sector 50,12272.0,4,3,3,5.0,Moderately Old,W68296278,flat,3982.0,0,1,0,0,0,0,31,"28.4178° N, 77.0628° E",28.4178,77.0628
bptp freedom park life,5.5,sector 57,8983.0,5,6,3+,19.0,Moderately Old,J59619536,flat,5010.0,0,1,0,1,0,1,153,"28.4232° N, 77.0752° E",28.4232,77.0752
corona gracieux,1.08,sector 76,5510.0,3,3,3,1.0,New Property,M56957678,flat,1774.0,0,1,0,0,0,0,58,"28.3935° N, 76.9888° E",28.3935,76.9888
central park resorts,11.25,sector 48,28266.0,4,5,3+,2.0,Relatively New,Z69174760,flat,4422.0,0,1,0,1,0,0,45,"28.4177° N, 77.0359° E",28.4177,77.0359
sahara grace,5.5,sector 28,14612.0,4,5,3+,5.0,Moderately Old,A69275510,flat,3406.0,0,1,0,0,1,1,8,"28.4728° N, 77.0865° E",28.4728,77.0865
bestech park view ananda,1.35,sector 81,7542.0,3,3,3+,8.0,Old Property,R70035130,flat,1989.0,0,0,0,0,0,0,114,"28.3867° N, 76.9485° E",28.3867,76.9485
shapoorji pallonji joyville gurugram,0.97,sector 102,10601.0,2,2,2,12.0,Relatively New,L69124940,flat,828.0,0,0,0,0,0,0,100,"28.4750° N, 76.9715° E",28.475,76.9715
the close north,3.0,sector 50,11516.0,3,3,3+,14.0,Old Property,U69330420,flat,2357.0,0,1,0,0,0,1,121,"28.4178° N, 77.0628° E",28.4178,77.0628
unitech espace,11.5,sector 50,35494.0,5,6,0,1.0,Moderately Old,M68631410,house,3240.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
unitech uniworld resorts,11.5,sector 33,24573.0,5,6,3+,4.0,Relatively New,T68843520,house,4680.0,0,1,0,0,0,0,84,"28.4420° N, 77.0207° E",28.442,77.0207
independent,3.69,sector 31,23699.0,4,4,2,2.0,Moderately Old,B69208946,house,1557.0,1,1,0,1,0,1,75,"28.4528° N, 77.0498° E",28.4528,77.0498
independent,7.25,sector 56,29340.0,8,8,3+,0.0,Moderately Old,D66962598,house,2471.0,0,0,0,0,0,1,24,"28.4245° N, 77.0991° E",28.4245,77.0991
ireo victory valley,2.95,sector 67,12236.0,3,3,3,10.0,Relatively New,I69942126,flat,2150.0,0,1,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
ansal api sushant estate,0.29,sector 52,11600.0,1,1,0,0.0,Moderately Old,B70175060,flat,278.0,0,0,0,0,0,1,49,"28.4379° N, 77.0785° E",28.4379,77.0785
independent,3.5,sector 3,9211.0,1,1,0,1.0,Moderately Old,Z67766806,house,3800.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
shapoorji pallonji joyville gurugram,1.8,sector 102,10638.0,3,3,3,5.0,Relatively New,G70022368,flat,1531.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
m3m soulitude,1.3,sector 89,8701.0,3,3,2,1.0,New Property,Y70142130,flat,1179.0,0,0,0,0,1,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
tata primanti,4.0,sector 72,13769.0,4,5,2,7.0,Moderately Old,S68515274,flat,2629.0,0,1,0,0,0,0,38,"28.4225° N, 77.0211° E",28.4225,77.0211
independent,8.5,sector 45,26235.0,5,4,2,1.0,Moderately Old,C68028942,house,3240.0,0,1,0,1,0,1,49,"28.4466° N, 77.0660° E",28.4466,77.066
godrej aria,1.69,sector 79,8522.0,3,3,2,7.0,Relatively New,O69438032,flat,1795.0,0,0,0,0,0,0,112,"28.3624° N, 76.9787° E",28.3624,76.9787
godrej nature plus,1.31,sector 33,15976.0,2,2,2,4.0,Under Construction,S66958322,flat,85.0,0,0,0,0,0,0,92,"28.4420° N, 77.0207° E",28.442,77.0207
friends apartment,2.0,sector 52,8511.0,4,3,3,5.0,Moderately Old,Q69487782,flat,2091.0,0,1,0,0,0,2,111,"28.4379° N, 77.0785° E",28.4379,77.0785
signature global synera,0.5,sector 81,7886.0,2,2,1,11.0,New Property,Y60756136,flat,704.0,0,0,0,0,0,2,97,"28.3867° N, 76.9485° E",28.3867,76.9485
ansal sushant lok plots,3.3,sector 43,26570.0,1,1,0,2.0,Under Construction,Y69091814,house,1242.0,0,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
independent,23.0,sector 26,25556.0,4,4,3+,2.0,Relatively New,V69736746,house,9000.0,1,1,1,1,0,1,145,"28.4757° N, 77.1032° E",28.4757,77.1032
experion windchants,3.65,sector 112,12310.0,3,4,3+,14.0,Relatively New,R62216030,flat,2225.56,0,1,0,0,0,1,150,"28.5189° N, 77.0183° E",28.5189,77.0183
independent,4.6,sector 31,32258.0,2,2,2,2.0,Moderately Old,R68564090,house,1426.0,0,0,0,0,0,0,0,"28.4528° N, 77.0498° E",28.4528,77.0498
ats triumph,2.65,sector 104,8413.0,4,4,3+,14.0,Relatively New,M69157638,flat,2898.0,0,1,0,0,0,1,21,"28.4788° N, 76.9960° E",28.4788,76.996
breez global heights,0.24,sector 36,5825.0,1,1,1,8.0,New Property,P69387204,flat,458.0,0,0,0,0,0,1,57,"28.4160° N, 76.9914° E",28.416,76.9914
gls avenue 51,0.42,sector 92,7107.0,2,2,1,4.0,Relatively New,I68531730,flat,657.0,1,0,0,1,0,1,42,"28.4079° N, 76.9153° E",28.4079,76.9153
